customer_unique_id,Recency_Days,Frequency,Monetary_Value
acea6bd29b8c1e3c6a8b266a8fb4475e,117,4,1365.01
dc9ccd8be2d922f8583d97933b06c5f4,284,1,1364.00
c2eef4e8cfe88848c34e81a5cf62b4be,194,1,1354.25
69a43b90b7f45f07911d140b61da311a,398,1,1351.94
07c9259c1afcbd1f6b416d9985782083,567,1,1347.96
5478d9f5da865d11d32ac29f3a23ec46,128,1,1336.95
5419a7c9b86a43d8140e2939cd2c2f7e,109,1,1333.80
28b9099dc6577fdeceb2e4468e69f556,479,1,1328.08
482b83576bf1699dd0a448805e211146,579,1,1326.79
1c7267f397e6ab4a4bb183b27dc65e92,530,1,1325.32
314b61600e5228a9dfe7623fd25ba846,580,1,1323.30
